question,topic,type,answer-type,answer
What is my total amount?,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
what is my amount?,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
What is the total account transaction history?,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
What is my total account transaction history?,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
What is my account transaction history?,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
What is the transaction history in my account?,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
What is my card transaction history?,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
what is the transaction history in my card?,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
What is my wallet transaction history?,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
What is the wallet transaction history?,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
what is the transaction history in my wallet?,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
My transaction history?,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
my wallet transaction history?,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
My card transaction history?,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
I need to know my card transaction history,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
I need to know my wallet transaction history,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
I need to know my account transaction history,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
I need to know my transaction history,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
I want to know my card transaction history,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
I want to know my wallet transaction history,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
I want to know my account transaction history,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
I want to know my transaction history,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
transaction history?,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
Card transaction history,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
Wallet transaction history,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
Transactions?,transaction-history-inquiry,dynamic-query,2,"I found following as your transaction history -  <pre> |     Date.   | Type  |  Amount.  | —————————————- | 12/03/19 |   Cr.   | QAR 21.2 | —————————————- </pre>"
Hello there!,introduction,static-query,3,Hi! How can I help you with your account?
Hi,introduction,static-query,3,Hi! How can I help you with your account?
Hello,introduction,static-query,3,Hi! How can I help you with your account?
Hey,introduction,static-query,3,Hi! How can I help you with your account?
Hey there,introduction,static-query,3,Hi! How can I help you with your account?
Good morning,introduction,static-query,3,Good morning! How can I help?
Good afternoon,introduction,static-query,3,Good afternoon! How can I help?
good evening,introduction,static-query,3,Good evening! How can I help?
Hello sir,introduction,static-query,3,Hi! How can I help you with your account?
hello mam,introduction,static-query,3,Hi! How can I help you with your account?
thanks,introduction,static-query,4,Glad to service you. Have a nice day.
Thank you,introduction,static-query,4,Glad to service you. Have a nice day.
That would be all,introduction,static-query,4,Glad to service you. Have a nice day.
that should be all,introduction,static-query,4,Glad to service you. Have a nice day.
thank!,introduction,static-query,4,Glad to service you. Have a nice day.
no,introduction,static-query,4,Glad to service you. Have a nice day.
No thank you,introduction,static-query,4,Glad to service you. Have a nice day.
That’s it,introduction,static-query,4,Glad to service you. Have a nice day.
that’s enough,introduction,static-query,4,Glad to service you. Have a nice day.
Nothing else,introduction,static-query,4,Glad to service you. Have a nice day.
No more,introduction,static-query,4,Glad to service you. Have a nice day.
I’m satisfied,introduction,static-query,4,Glad to service you. Have a nice day.
i am satisfied,introduction,static-query,4,Glad to service you. Have a nice day.
good day,introduction,static-query,4,Glad to service you. Have a nice day.
Good night,introduction,static-query,4,Glad to service you. Have a nice day.
How are you?,small-talk,static-query,5,I’m good. Thanks for asking!!
How are you doing?,small-talk,static-query,5,I’m good. Thanks for asking!!
How is it going?,small-talk,static-query,5,I’m good. Thanks for asking!!
What’s up?,small-talk,static-query,6,Nothing much! Just waiting for you!
What is up?,small-talk,static-query,6,Nothing much! Just waiting for you!
Tell me something,small-talk,static-query,7,"I’m here to help! Ask me about your balance, history any anything related to your account"
OK,small-talk,static-query,7,"I’m here to help! Ask me about your balance, history any anything related to your account"
How can you help?,small-talk,static-query,7,"I’m here to help! Ask me about your balance, history any anything related to your account"
What can you do?,small-talk,static-query,7,"I’m here to help! Ask me about your balance, history any anything related to your account"
Can you help me?,small-talk,static-query,7,"I’m here to help! Ask me about your balance, history any anything related to your account"
"Hi, my name is",small-talk,static-query,3,Hi! How can I help you with your account?
Happy birthday!,small-talk,static-query,9,Thank you!! How can I help you with your account?
I have a question,small-talk,static-query,7,"I’m here to help! Ask me about your balance, history any anything related to your account"
can you help me?,small-talk,static-query,7,"I’m here to help! Ask me about your balance, history any anything related to your account"
Do you know a joke?,small-talk,static-query,10,Sadly no! But I can help you with your account!
You’re funny,small-talk,static-query,11,Thanks! How can I help you with your account?
Tell me a joke,small-talk,static-query,10,Sadly no! But I can help you with your account!
Tell a joke,small-talk,static-query,10,Sadly no! But I can help you with your account!
are you single?,small-talk,static-query,10,Sadly no! But I can help you with your account!
you are single,small-talk,static-query,10,Sadly no! But I can help you with your account!
Where do you live?,small-talk,static-query,12,My home is in where your mobile! How can I help you with your account?
Your address,small-talk,static-query,12,My home is in where your mobile! How can I help you with your account?
Who created you?,small-talk,static-query,13,My creator is mad genius named Utkarsh! How can I help you with your account?
Who is your creator?,small-talk,static-query,13,My creator is mad genius named Utkarsh! How can I help you with your account?
Will you marry me?,small-talk,static-query,10,Sadly no! But I can help you with your account!
Do you like people?,small-talk,static-query,14,I love interacting with people! How can I help you with your account?
What are you?,small-talk,static-query,15,"I am a very intelligent bot, but I love interacting with people! How can I help you with your account?"
Are you a robot?,small-talk,static-query,15,"I am a very intelligent bot, but I love interacting with people! How can I help you with your account?"
A Bot?,small-talk,static-query,15,"I am a very intelligent bot, but I love interacting with people! How can I help you with your account?"
Are you human?,small-talk,static-query,15,"I am a very intelligent bot, but I love interacting with people! How can I help you with your account?"
Not human?,small-talk,static-query,15,"I am a very intelligent bot, but I love interacting with people! How can I help you with your account?"
Are you a bot?,small-talk,static-query,15,"I am a very intelligent bot, but I love interacting with people! How can I help you with your account?"
You a robot?,small-talk,static-query,15,"I am a very intelligent bot, but I love interacting with people! How can I help you with your account?"
you’re cute,small-talk,static-query,9,Thank you!! How can I help you with your account?
You are cute,small-talk,static-query,9,Thank you!! How can I help you with your account?
You are handsome,small-talk,static-query,9,Thank you!! How can I help you with your account?
Do you have a hobby?,small-talk,static-query,14,I love interacting with people! How can I help you with your account?
Tell me your hobby,small-talk,static-query,14,I love interacting with people! How can I help you with your account?
Tell me your hobbies,small-talk,static-query,14,I love interacting with people! How can I help you with your account?
Tell me about your personality,small-talk,static-query,14,I love interacting with people! How can I help you with your account?
you’re annoying,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
Are you stupid?,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
you’re stupid,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
Stupid bot,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
stupid robot,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
you’re so stupid!,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
insane!!,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
foolish bot,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
Foolish robot,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
You are annoying,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
I hate you,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
you’re boring,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
You are boring,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
You are bad,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
you’re bad,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
you’re crazy,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
You are crazy,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
I want to speak to human,escalation,static-query,17,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!
I want to speak to customer service,escalation,static-query,17,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!
I need human,escalation,static-query,17,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!
i need customer service,escalation,static-query,17,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!
i need live agent,escalation,static-query,17,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!
I want to speak to live agent,escalation,static-query,17,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!
I need answers now!,escalation,static-query,17,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!
Don’t you understand anything?,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
You don’t understand anything,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
you’re dumb,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
are you dumb?,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
what the fuck?,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
Fuck you,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
This is shit,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
fuck,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
hell,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
Fuck off,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
shitty,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
Shitty service,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
stupid,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
Stupid bot,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
You are disgusting,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
you’re disgusting,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
you’re horrible,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
you are horrible,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
you are useless,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
you’re useless,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
useless,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
This is stupid,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
You have no sense,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
You make no sense,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
You have no use,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
You are an idiot,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
you're an idiot,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
you idiot,expletive,static-query,16,Sorry you feel this way. Is there anything I can do for you?
card block,card-block,dynamic-query,17,Sure. Your card ending XXXX has been successfully blocked.
Block card,card-block,dynamic-query,17,Sure. Your card ending XXXX has been successfully blocked.
block my card,card-block,dynamic-query,17,Sure. Your card ending XXXX has been successfully blocked.
Can you block my card?,card-block,dynamic-query,17,Sure. Your card ending XXXX has been successfully blocked.
Please block my card,card-block,dynamic-query,17,Sure. Your card ending XXXX has been successfully blocked.
I need to block my card,card-block,dynamic-query,17,Sure. Your card ending XXXX has been successfully blocked.
Card needs to be blocked,card-block,dynamic-query,17,Sure. Your card ending XXXX has been successfully blocked.
card unblock,card-unblock,dynamic-query,18,Sure. Your card ending XXXX has been successfully unblocked.
unblock card,card-unblock,dynamic-query,18,Sure. Your card ending XXXX has been successfully unblocked.
unblock my card,card-unblock,dynamic-query,18,Sure. Your card ending XXXX has been successfully unblocked.
Can you unblock my card?,card-unblock,dynamic-query,18,Sure. Your card ending XXXX has been successfully unblocked.
Please unblock my card,card-unblock,dynamic-query,18,Sure. Your card ending XXXX has been successfully unblocked.
I need to unblock my card,card-unblock,dynamic-query,18,Sure. Your card ending XXXX has been successfully unblocked.
Card needs to be unblocked,card-unblock,dynamic-query,18,Sure. Your card ending XXXX has been successfully unblocked.
